[QUOTE_UNIXTIME], [QUOTE_READTIME], [QUOTE_DATE], [QUOTE_TIME_HOURS], [UNDERLYING_LAST], [EXPIRE_DATE], [EXPIRE_UNIX], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_RHO], [C_IV], [C_VOLUME], [C_LAST], [C_SIZE], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_SIZE], [P_LAST], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [P_RHO], [P_IV], [P_VOLUME], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
1675285200, 2023-02-01 16:00, 2023-02-01, 16.000000, 22.080000, 2023-02-03, 1675458000, 2.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , , 0.000000, 295 x 1, 10.000000, 10.100000, 12.000000, 0.000000, 0.010000, 0 x 1670, 0.000000, -0.003420, 0.001850, -0.000010, -0.004980, -0.000460, 2.682650, , 10.100000, 0.457000
1675285200, 2023-02-01 16:00, 2023-02-01, 16.000000, 22.080000, 2023-02-03, 1675458000, 2.000000, 0.918720, 0.007710, 0.002220, -0.164830, 0.182150, 4.433500, , 0.000000, 220 x 16, 9.000000, 9.500000, 13.000000, 0.000000, 0.010000, 0 x 1720, 0.000000, -0.003330, 0.002260, 0.000190, -0.004130, 0.000000, 2.355420, , 9.100000, 0.411000
1675285200, 2023-02-01 16:00, 2023-02-01, 16.000000, 22.080000, 2023-02-03, 1675458000, 2.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , , 0.000000, 240 x 80, 8.000000, 8.150000, 14.000000, 0.000000, 0.010000, 0 x 1720, 0.000000, -0.004180, 0.002920, -0.000010, -0.004580, 0.000000, 2.050430, , 8.100000, 0.366000
1675285200, 2023-02-01 16:00, 2023-02-01, 16.000000, 22.080000, 2023-02-03, 1675458000, 2.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , , 0.000000, 359 x 123, 7.000000, 7.150000, 15.000000, 0.000000, 0.010000, 0 x 1725, 0.020000, -0.004130, 0.003950, 0.000290, -0.004550, 0.000000, 1.765180, 0.000000, 7.100000, 0.321000
1675285200, 2023-02-01 16:00, 2023-02-01, 16.000000, 22.080000, 2023-02-03, 1675458000, 2.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , , 0.000000, 377 x 94, 6.450000, 6.650000, 15.500000, 0.000000, 0.010000, 0 x 1720, 0.000000, -0.005120, 0.004580, -0.000160, -0.004760, -0.000080, 1.628360, , 6.600000, 0.298000
1675285200, 2023-02-01 16:00, 2023-02-01, 16.000000, 22.080000, 2023-02-03, 1675458000, 2.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 0.000000, 6.190000, 221 x 98, 6.000000, 6.150000, 16.000000, 0.000000, 0.010000, 0 x 3960, 0.010000, -0.005670, 0.005370, 0.000600, -0.004700, -0.000140, 1.495570, 0.000000, 6.100000, 0.275000
1675285200, 2023-02-01 16:00, 2023-02-01, 16.000000, 22.080000, 2023-02-03, 1675458000, 2.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , , 0.000000, 351 x 144, 5.450000, 5.650000, 16.500000, 0.000000, 0.010000, 0 x 4684, 0.010000, -0.005810, 0.006310, 0.000670, -0.004980, 0.000000, 1.365810, 0.000000, 5.600000, 0.253000
1675285200, 2023-02-01 16:00, 2023-02-01, 16.000000, 22.080000, 2023-02-03, 1675458000, 2.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 0.000000, 5.100000, 317 x 138, 5.000000, 5.150000, 17.000000, 0.000000, 0.010000, 0 x 4689, 0.020000, -0.006270, 0.007510, 0.000280, -0.004340, -0.000400, 1.239360, 0.000000, 5.100000, 0.230000
1675285200, 2023-02-01 16:00, 2023-02-01, 16.000000, 22.080000, 2023-02-03, 1675458000, 2.000000, 0.910770, 0.037190, 0.003480, -0.106520, 0.017210, 2.117690, , 0.000000, 379 x 66, 4.450000, 5.050000, 17.500000, 0.000000, 0.010000, 0 x 4698, 0.010000, -0.006790, 0.009140, 0.000450, -0.004640, -0.000360, 1.115890, 0.000000, 4.600000, 0.207000
1675285200, 2023-02-01 16:00, 2023-02-01, 16.000000, 22.080000, 2023-02-03, 1675458000, 2.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 0.000000, 3.840000, 81 x 1, 4.000000, 4.100000, 18.000000, 0.000000, 0.010000, 0 x 4692, 0.010000, -0.008080, 0.011290, 0.000500, -0.004690, -0.000350, 0.994750, 0.000000, 4.100000, 0.185000
